transaction_date,description,amount
2026-09-01,SALARY CREDIT SEPTEMBER,60000
2026-09-02,SWIGGY ORDER 48213,-450
2026-09-02,ZOMATO FOOD ORDER,-380
2026-09-03,BIGBASKET GROCERY,-1250
2026-09-04,UBER TRIP CITY CENTER,-220
2026-09-05,INDIAN OIL FUEL STATION,-2000
2026-09-06,NETFLIX SUBSCRIPTION,-499
2026-09-06,AMAZON PRIME MEMBERSHIP,-299
2026-09-07,AMAZON.IN ORDER 88213,-1899
2026-09-08,FLIPKART ORDER,-2450
2026-09-09,ELECTRICITY BOARD BILL,-1800
2026-09-10,RENT PAYMENT SEPTEMBER,-15000
2026-09-11,APOLLO PHARMACY,-650
2026-09-12,INTEREST CREDIT SAVINGS,850
2026-09-13,ZEPTO QUICK DELIVERY,-320
2026-09-14,BLINKIT GROCERY ORDER,-540
2026-09-15,SPOTIFY PREMIUM,-119
2026-09-16,LOCAL CORNER STORE XYZ,-275
2026-09-17,OLA CAB RIDE,-180
2026-09-18,BROADBAND INTERNET BILL,-999
not-a-date,BROKEN ROW FOR DEMO,-100
2026-09-19,SWIGGY ORDER 91827,-610
