transaction_date,description,amount
2026-02-02,SUBWAY,1213
2026-02-03,AMAZON SHOPPING,722
2026-01-14,AIR INDIA TICKET,7570
2026-08-09,NETFLIX SUBSCRIPTION,962
2026-08-26,IRCTC TRAIN TICKET,2328
2026-08-29,DIAGNOSTIC LAB,3543
2026-07-21,DOMINOS PIZZA,1737
2026-03-21,AMAZON SHOPPING,945
2026-05-30,PHARMACY PURCHASE,1686
2026-08-06,STARBUCKS,284
2026-02-03,TATA 1MG,4617
2026-06-10,NETFLIX SUBSCRIPTION,649
2026-08-07,JIO MOBILE BILL,1825
2026-05-31,BIGBASKET,3080
2026-07-10,JIO MOBILE BILL,1260
2026-08-02,INDIAN OIL FUEL,1184
2026-02-11,NETFLIX SUBSCRIPTION,649
2026-01-23,IRCTC TRAIN TICKET,8251
2026-06-08,DIAGNOSTIC LAB,494
2026-06-19,GOOGLE ONE STORAGE,791
2026-06-04,JIO MOBILE BILL,960
2026-02-09,UBER TRIP,1312
2026-07-26,UBER TRIP,947
2026-06-28,PHARMACY PURCHASE,1745
2026-07-11,INDIGO AIRLINES,5104
2026-03-10,AMAZON PRIME,657
2026-07-18,EDUCATIONAL MATERIAL,2148
2026-08-20,ZOMATO FOOD ORDER,258
2026-07-01,UBER TRIP,185
2026-07-13,ZOMATO FOOD ORDER,442
2026-02-23,DOMINOS PIZZA,707
2026-03-19,RAPIDO RIDE,407
2026-06-16,AJIO SHOPPING,8802
2026-05-12,GOOGLE ONE STORAGE,130
2026-03-30,NATURES BASKET,3809
2026-07-30,UBER TRIP,1776
2026-05-10,NETFLIX SUBSCRIPTION,649
2026-04-21,MCDONALDS,1649
2026-08-05,NETFLIX SUBSCRIPTION,1043
2026-04-19,BIGBASKET,3152
2026-06-02,COURSERA COURSE,5042
2026-07-18,WATER BILL PAYMENT,1924
2026-07-26,BOOKING HOTEL,10891
2026-04-09,NETFLIX SUBSCRIPTION,649
2026-02-25,MAKEMYTRIP,10407
2026-04-30,STEAM GAMES,2372
2026-06-25,ACT FIBERNET,1149
2026-02-11,GOOGLE ONE STORAGE,130
2026-03-04,MUSIC CONCERT,1786
2026-03-25,AIRTEL MOBILE BILL,438
2026-02-10,DIAGNOSTIC LAB,4550
2026-07-21,SPOTIFY SUBSCRIPTION,406
2026-01-25,DMART GROCERIES,3787
2026-08-08,UDEMY COURSE,2571
2026-07-06,CLINIC CONSULTATION,3607
2026-03-20,BOOKMYSHOW,321
2026-07-09,PVR CINEMAS,731
2026-02-06,BIGBASKET,866
2026-05-18,UDEMY COURSE,900
2026-04-29,RELIANCE SMART,1179
2026-02-27,IRCTC TRAIN TICKET,6533
